"","mission.corp6"
"812252111 2016"," carry   support scientific research health systems development strengthening  implementation health science education  development  health cousulting   field  poverty-related communicable  non-communicable diseases   particular emphasis  hiv aids  tuberculosis   benefit  poor distressed under-privileged  vulnerable communities  societies around  world    activities related thereto"
"812263312 2016"," promote  appreciation   artists  artisans working  brooklyn"
"812294782 2016","c3 estates  irrevocably dedicated   operated exclusively  non-profit purposes   advancement  underpriviledged veterans   memphis area  providing affordable housing"
"812306821 2017","provide quality advanced education   area  federal tax law"
"812325062 2017","   mission  goats  anarchy inc  rescue rehabilitate  provide  forever home  sick injured  permanently disabled goats  educating  public  animal welfare   vegan lifestyle"
"812333855 2016","non traditional 1st thru 8th grade school specializing  teaching students    language based disorder   dyslexia offering specialized learning opportunities  engage  mind  empower students  reach  fullest potential"
"812364738 2017"," prevention  cruelty  botswana's black  white rhino population"
"812367565 2017"," mission  cweft-usa   raise funds   support educational missionary programs  thailand"
"812373757 2016","purposes   organization include   provide  tool   precahing   gospel  jesus christ world-wide ii  provide  forum   reading  scripture   teach  contents   king james holy bible  iii  provide informaton  christian missions around  world"
"812378212 2017","heruka institute exists   advancement  vajrayana buddhism"
"812399183 2017"," promote child nutritional health  mississippi children"
"812402087 2016"," get  local businesses together  get  youth   streets  sports  programs paid  business owners donors"
"812413113 2016","wildlife rehabilitation"
"812422445 2017","supporting unique needs  children"
"812439140 2017"," mission   actively deal  current  future environmental issues  affect  community   world around us"
"812446497 2017"," purpose os  corporation will   raise funds  charitable activities  education  research related     three counties encompassing  santa cruz mountains santa cruz santa clara  san mateo"
"812470378 2016","save  heartbeat   501_c_3 non-profit organization  aims  promote early detection raise awareness fund research  engage  community outreach   affected  congenital heart disease chd"
"812470510 2016"," mission   bobby bonds memorial foundation   help addicts   committed  moving  lives  active addiction  long term recovery  organization provides various support  addicts family members  at-risk families"
"812474235 2017"," provide education  youths   community   relates  healthcare nutrition"
"812491537 2017"," arizona venom baseball academy   non-profit organization dedicated  providing  players  opportunity  develop  skills character  respect       game  baseball   supportive  positive environment  teamwork solid fundamentals  personal achievement  strive  improve  youth players  life lessons learned  challenging  rewarding experiences     field  recruiting  training select individuals   coaches  mentors committed  player development  strategic  fair play drills training  positive supportive principles   turn will help prepare  players   next level  baseball   challenges  life  championing good work ethic positive attitudes  respect  peers  superiors   expanding  knowledge   game  baseball"
"812492818 2016"," provide local school additional funding  support"
"812527845 2017"," provide free medical treatment  needy members  society"
"812533951 2017"," mission   east petersburg day committee   sponsor  host community events projects activities programs  public improvements  events   strenghten  town  fostering community involvement  spirit"
"812538565 2017"," mission   dripping springs visitors bureau   promote tourism provide residents  community information   support  dripping springs chamber  commerce   city  dripping springs   missions"
"812548915 2016","crc foundation engages inspires educates  activates  local community toward  catalysts  philanthropic causes"
"812552831 2016"," advocate  dogs  using  gifts talents  abilities  bring  positive change   lives  outdoor dogs"
"812573410 2017","provide   community"
"812574580 2017"," mission  makarios autism center   provide  christian school  children  autism  provide  support system   family"
"812606084 2017"," empower  closed minds  youths  show     world   can    anything.we take     communin comfort zone     emprce  cultures  explore li"
"812606994 2016"," help fund parkinson research  support organizations    similar mission   working  young people developing skills   area  work"
"812611710 2016"," corporation  formed  manage community opposition   zoning amendment   town  harrison ny  gial   stop  zoning amendment  will change r1 residential zoning   large parcel  land   center   residential community  commercial zoning"
"812614196 2017"," organization promotes  public awareness program online   website  social media   hope  improving  health well   safety  police officers   families  well  promote better relations  law enforcement   communities"
"812628941 2017","provide technology based education  displaced disadvantaged"
"812632501 2017","providing  place  people  worship"
"812643088 2017","equine therapy  wounded soldiers  disabled individuals"
"812644775 2017"," corporation  organized  operated exclusively  educational purposes    qualified amateur sports organization"
"812652020 2016"," provide services  cancer patients   families"
"812659827 2017"," organizations owns  operates  nursing facility  "
"812664668 2016"," hartrampf chair fund   established  collect funds  will eventually  used  establish  chair  plastic surgery  dr hartrampf's name intended  support  plastic surgeon interested  breast reconstruction  research"
"812677817 2017","christ centered evangelistic ministries"
"812681969 2016","dedicated  preserving collecting researching  interpreting historicalassetsof  rich history   hobergs resort  well   surrounding lake county community"
"812706568 2017"," jacques pepin foundation promotes jacque's generosity  passion"
"812711819 2017"," provide clothing  anyone  needs "
"812743076 2016","latino educational equity partnerships leep"
"812768747 2016"," foster    highest ideals  judism  expressed   synagogue  promote closer fellowship among  members   cooperation   congregation   mentor  religious social  educational activities"
"812773332 2017","art launch educates  mentors artists  provide guidance  sales logistics art events   business  practical aspects  success"
"812774255 2017"," promote awareness  parkinson's disease   symptoms  steps  diagnosis  treatment  promote physical activity  provide  effective form  physical exercise  people living  parkinson's disease"
"812777011 2017","athletics public school support"
"812778740 2017"," organization seeks  bring together musicians artists scholars   community  collaborate across fields  genres  inter-disciplinary projects caroga arts collective inc focuses  revitalizing local culture  life  providing unique experiences via collaborative performances exhibits community outreach events  adult youth education"
"812786894 2017","assist individuals  disabilities  live  independent life"
"812788693 2017","farm camp minnesota   fun interactive educational experience  campers  learn  modern agriculture   understand     food  produced   organized  sponsored  farmers  agribusiness people  love     want  share  passion"
"812791203 2016"," mission  paducah wall  wall inc   coordinate research design paint  maintain  dafford floodwall murals  downtown paducah   guarantee  integrity   24 7 public art history attraction  future generations"
"812808837 2017","pug rescue owasso's mission  "
"812808837 2016","pug rescue owasso's mission   rescue abused abandoned homeless unwanted"
"812811183 2017"," exist  guide  people   nations  creating christ-centered learning environments growing individuals    full potential   equipping   impact  world  christ"
"812812506 2016"," exist  help  people  ecuador rebuild  lives april 16th 2016 ecuador  struck    powerful earthquake  country  seen since 1949     recover  rebuild ecuador   people  ecuador"
"812816032 2017","provide opportunities   youth  newport county  play  game  basketball   safe educational environment  goal   help young people build strong character  realize  full potential  promoting respect understanding  cooperation amongst  peers butler basketball club will work  educate athletes   positive aspects  life  achieve success   result  aim  maintain positive relations  city managers city schools community businesses  nearby neighborhoods butler basketball club's volunteers  board members  share  common goal  creating  environment   youth  compete learn  socialize  will help  instill  vital development assets  fair play hard work  tolerance"
"812819648 2017"," supporting children  families whose lives   impacted  foster care"
"812819829 2017","fairway  heaven holds golf events benefiting "
"812830936 2017"," mission  light   world via taekwondo   improve  well   quality  life  asian americans  asian immigrant families  ohio  providing social  education services  empowering individuals  education training  leadership"
"812833997 2016"," charitable purpose   applicant includes  granting  relief  assistance   town  ulster  catskill ny   needy  improverished victims  charitable organizations  natural calamities  disasters  giving donations   assistance   needy  improvised victims"
"812846768 2016"," organization organize soccer league   financed   league participants"
"812849819 2017"," restoration collective exists  educate empower  restore families impacted  foster care"
"812883944 2017","provide education research  services  support public-private data sharing  risk based modeling  assess  impact  regulations  policies"
"812886744 2017"," raise appreciation  awareness  illustration   many forms  providing people   ages  opportunity  learn directly  master artists  working professionals  exhibitions  workshops provided  public libraries"
"812890446 2017"," foundation  created  provide financial assistance  scientific research  will include   limited  medical research literary  educational purposes"
"812894755 2016"," goal  beat  odds inc   provide individuals   need  disadvantaged  empowering opportunities  enrich  lives  provide  mechanism  higher education  healthy living    goal  beat  odds inc  address  obstacles  find solutions"
"812900152 2017"," program  committed    winning   development   players     court  organization illustrate  stress  importance  good sportsmanship respect   opponents  well   teammates"
"812905667 2017","see stmt "
"812945459 2016","empower youth  activist learning"
"812946419 2017"," organization establishes noteworthy locations  augments existing locations  landscaping"
"812960421 2017","organize promote "
"812962800 2016"," empower community families  small business owners  succeed  responsible life-long learners"
"813003343 2017"," provide financial  social assistance  support services  united_states veterans returning home  service"
"813003647 2016"," mission  tahdah   improve  hearts  minds  lives  young people  resources  support holistic arts education  wellbeing  vision   create  world  young people  access  opportunities  foster growth  encouraging uplifting andcreative ways"
"813016586 2016"," provide missionary support  various african nations"
"813019217 2017"," talia duff foundation inc  organized  june 2016   purpose  raising funds  support  research development  production   therapy  cure  charcot marie tooth disease type 4j"
"813020602 2017","larc provides permanent sanctuary  rescued horses wolves   animals  well   rescue  adoption program  organization also provides  therapeutic work environment  paid employment  disabled   formerly homeless combat veterans"
"813020602 2016"," lockwood animal rescue center larc provides permanent sanctuary  rescued horses wolves wolfdogs coyotes foxes  wildlife  dogs  well   rescue  adoption program  also providing  therapeutic work environment  paid employment  disabled   formerly homeless combat veterans  veterans work   rescued animals residing   sanctuary employment  larc allows  veterans  transitional period   stress-free environment  regain  confidence  learn valuable skills  future permanent employment  animals benefit   permanent placement  large habitats  allow   maintain natural pack families   provided loving care   veterans  unique relationship  develops  therapeutic     veterans  allowed flexible schedules   can continue physical  mental health appointments larc offers  drug  alcohol free work environment  veterans  recovery"
"813022018 2017","provide animal  support group therapies  veterans suffering ptsd tbi depression anxiety substance abuse  secondary trauma steming  combat stress rescue  slalughterhouse horses  secondary mission"
"813029922 2016"," conduct fund raising activities  support  san antonio livestock exposition lamb auction"
"813051645 2016","charitable activity  underprevilaged children"
"813057248 2017","help children  autism"
"813066611 2016"," inform  general public  contibutions   marijuana industry  members   jewish community"
"813066621 2017"," provide education  support   lgbt community"
"813083133 2017","providing support  new jersey head start organizations serving young children  families"
"813083133 2016","support  new jersey head start organizations serving young children  families"
"813096119 2017","public charities"
"813114373 2017"," find loving  healthy solutions   rescue  placement  dogs   deemed unwanted   abandoned"
"813115229 2016"," khma's mission   restore preserve  display klipsch  klipsch-related artifacts  archival materials  historic purposes  well   conduct historical research   host educational activities  events"
"813127262 2017"," assist low moderate income individuals   families  obtaiing adequate housing      able  afford without assistance  support finance construct lease operate  act   developer  affordable housing provide supportive services community development activities  benefit low moderate income individuals  families"
"813144354 2016"," strengthen  community  providing opportunites  underserved young adult women  learn skills essential  personal growth seeking jobs  networking  meet  real life demand"
"813156995 2016","kendall county community food pantry inc conducts activities entailing  charitable collection  funds  goods subsequently distributing food clothing  related necessitiies    need   crisis    emergency situations"
"813164860 2017"," soundbio lab provides  lab space thats available  community members  use    independent research soundbio also runs workshops open   general public within  lab space focused  hand-on science learning soundbio also takes science    local community  attending tabling events throughout seattle"
"813169482 2016","dedicated  serving  vibrant community  implementing sustainable programs 1-minneapolis food bank helping  community figt hunger 2-minneapolis kitchen  provide good healty  nutritious food   homeless   needy   community 3-minneapolis youth empowerment center help youth build character  realize  full potential  providing learning tools   safe  friendly environment"
"813170089 2017"," organization operates  help needy children  raising funds  purchase new toys  accepting donations  new toys   distributed   501_c_3 organizations"
"813177487 2016","foundations mission   provide tution assistance  high school  college students  need"
"813185870 2016","provide  fun  safe environment  local youth  learn  fundamentals  enjoy football   trying  instill  values  leadership teamwork   work ethic    fun  bring  youth   community together  enjoy  common activity"
"813207153 2016","provide food clothings   household items  people  need"
"813211646 2016","banjnc   leverage business expertise  drive  frontier  global healthcare industry  establish  us-based platform  healthcare business leaders  chinese heritage  enhance  infulence  chinese healthcare professionals promote members career development  business growth catalyze business opportunities"
"813214114 2017"," foster collaborative relationships  alumni  dcms  educational  cultural programs   help  underprivileged  philanthropic activities"
"813215421 2016"," provide 24 hour care  mentally  physically challenged adults"
"813215812 2016"," build  capacity  nonprofits  change  communities"
"813218015 2017"," mission   provide  productive  safe environment   child provide  child   strong educational background  gives   confidence  succeed  life"
"813230373 2017"," primary purpose   corporation   promote  circular economy   adaptive reuse  consumer waste  art design fashion  architecture"
"813241387 2016","community based organization established   purpose "
"813243497 2016","  passion  cars maintain  fix vehicles    need  develop relationships      help use  god-given mechanical abilities  serve  reach     need"
"813243497 2017"," mission     passion  cars maintain  fix vehicles    need  develop relationships       help  use  god-given mechanical abilities  serve  reach     need"
"813253591 2017","stuart sailfish club foundation inc promotes community tag  release fishing tournaments  provides education  community awareness  environmental issues related  ocean  inland waterways"
"813258196 2016","human service"
"813258678 2016","improving  lifestyle    disadvantgaed communitie empowerment education  food safety"
"813270538 2017"," preserve interpret  convey graham county regional  appalachian history  exhibition  educational programs  showcase  history making graham county  desired historical destination"
"813289163 2017","heritage guild  vicksburg warren county  committed  providing educational programs   community  schools   history   geographic area   importance  preservation  historic venues   personal properties"
"813300700 2017","working  local school  ensure teen parents stay  school offering low cost tuition  teen parent determine  succeed"
"813322182 2017","kidz luv sports  dedicated  promoting sports  kids   ages   committed  fostering  positive atmosphere encourage good sportmanship  interaction  athletes coaches teaches  parents"
"813322182 2016","kidz luv sports  dedicated  promoting sports  kids   ages   committed  fostering  positive atmosphere encourage good sportsmanship  interaction  athletes coaches teachers  parents"
"813358832 2017"," purposes   financially assist families   jewish faith  financially support charitable organizations whether local  international    acts useful suitable  proper  accomplish  activities"
"813366871 2016","charitable work related  orphans thru church service"
"813381516 2016","provide assistance  youth organizations encouraging interest  stem"
"813393657 2017"," mission   pet loss resource center   provide support guidance  resources  people  south central wisconsin   family pet  died   nearing  end  life"
"813395723 2017"," provide  safe haven  farm animals    abused  otherwise  cared    humane manner funds will provide  housing food  veterinary care  well  support public education   proper care  treatment  farm animals"
"813419222 2017"," empower  dalit people  education"
"813422723 2016"," foster  arts  exposing disadvantaged  priveledged children  theatre dance  visual arts"
"813430384 2016"," corporation  organized  existing   missouri nonprofit corporation act exclusively  charitable educational  scientific purposes within  meaning  section 501_c_3   internal revenue code  1986  amended  code nothing herein shall  construed  give  corporation  purpose    permitted   code  specifically  corporation  organized  religious purposes"
"813443795 2017"," provide  stockshow  4-h  ffa members  exibit "
"813464798 2017","family progress  restoration mision"
"813465847 2017"," purpose   provide employment  seniors  educate   social security  medicare planning  help  understand  choices  retirement benefits"
"813475487 2017"," provide property development solutions  underserved communities"
"813494275 2017","prayer group"
"813556651 2016"," provide housing assistance  support  families  handicapped  special needs children"
"813558267 2016","homeless  emergency assistance"
"813575032 2017"," mentor  music  develop youth  competent individuals  instill community pride  service projects"
"813575891 2017"," re-establish  role  christian men  shepherds   home    community"
"813582468 2017","organisation mission   help  provide access  better education  technology  underserved communities"
"813594639 2017"," expemtion purpose sakan  working on:providing pathways  affordable housing.promoting culturally appropriate community development.educating minnesotans   conventional  islamic financial systems"
"813600619 2017"," mission   rclc foundation   support  charitable projects   rotary club  las cruces"
"813605794 2016","t.e.k foundation cc inc  organized exclusively  ependymoma i.e childhood brain cancer patients  exempt purpose   help  family needs   child  ependymoma  also make donations  organizations  support patients  childhood brain cancer"
"813612322 2016"," provide religious education programs"
"813626667 2017","establish relationships among existing  emerging leaders  varied segments   community  assist  solving community problems educate participants  facts  major community issues  alternative approaches  solutions  community proglems  develop  inspire leadership  solving community issues"
"813641518 2017","provide food   hungry assistance   afflicted  hope    despair"
"813644774 2017","educational  entertainment"
"813659674 2016"," purpose  haven adolescent community respite center   support adolescents   families  times  domestic conflict services  provided  adolescents   families without stigma  without assigning blame   effort  keep youth  home  possible  safe haven adolescent community respite center provides  short term residential alternative  incarceration  homelessness  necessary young people   families  provided  long term solutions  family conflicts  adolescence poverty social  political pressures  mental health  drug addition intensify"
"813666984 2017","rescue homeless canines  crowded shelters  well  situations  abuse  neglect  rehabilitate  rehome    help  animal advocates veterinarians shelters  rehabilitation centers"
"813668773 2017"," objects  purposes   corporation  generally focused  two areas  expertise:education  advocacy"
"813684140 2016","organization dedicated   development  training  junior olympic athletes new york elite volleyball inc endeavors  train  develop athletes  volleyball skills promote sportsmanship inspire respect   rules   game"
"813685546 2017"," provide swimming meets"
"813692372 2017","support  families   come   united_states  escape  war-torn countries"
"813701971 2017"," provide need resources  military  first reponder heroes    injured  suffered illness  serving  country  local communities"
"813709722 2017","southern california soccer officials association   nonprofit mutual benefit corporation organized  promote  education  training  individuals  prospective officials  various levels   sport  soccer"
"813736577 2016"," educate  community  world cultures   arts"
"813741378 2017","artimes farm rescue strives  end equine suffering"
"813741458 2017","charitable  educational"
"813744838 2016"," serve  homeless youth    need  donations  fundraising events"
"813746772 2017"," provide gifts toys  childhood cancer fighters across  us"
"813767857 2017"," support  dance team associated  non-profit  higher education"
"813770138 2016","celebrate  utilize downtown"
"813786834 2016"," memory  rebecca weissbard  organizations primary goal   provide disadvantaged youths  thge opportunity  share  love   equistrian sport   spirit  rebeca  pursued excelled"
"813818377 2017","gigis house creates  safe culture  victims  heal    pace"
"813834200 2017","creating positive life-changing moments  innocent children    victims  abuse neglect  abandonment"
"813844173 2017","reduce poverty crime  youth violence socially  economically empower youth  liberia west africa"
"813855050 2016","lehachyos saves children  families  starvation  providing    basic food necessities  health expenses"
"813859689 2017"," work   community  strengthen  bond  animals  people enhancing  quality   lives  compassionate sheltering responsible adoptions education  community outreach"
"813881226 2017"," corporation formed  2016  provide christian based counseling services  individuals  families   western kentucky area   christ-centered approach  empathize  educate   empower     burdens can  transformed   manageable load  counseling services will  based   values  corporation believes christ taught  restoring hope respect dignity  self-worth  every person counseling services  provided  individuals  families  reduced   fee   establishment   good samaritan fund   without insurance coverage  ability  pay full    one will  denied needed counseling services due  lack  resources"
"813891401 2017","freedom fidos rescues dogs  shelters trains    tasked trained service dogs  provides   free  disabled veterans children  special needs  first responders"
"813902255 2017","help unwanted  undesirable canines   felines find  forever homes  work  breeders  local residents  re-homing  animal   flawed   needed   breeding programs  homes  breeders  local residents will contact us  information   animal   need oof  new home   work   contacts  placing  animal  will  make sure   animal's medical needs  met  vaccinations worming spraying nuetering grooming dentals etc  believe every animal   good addition   right person's family"
"813962614 2017","thrift store community outreach"
"813972608 2016","organization dedicated   development  training  young athletes wallkill youth lacrosse inc endeavors  train  develop  young athletes  lacrosse skills promote sportsmanship inspire respect   rules   game"
"813983000 2017"," create affordable housing   city  herreid sd"
"813988420 2017","savannah community acupuncture seeks  overcome socioeconomic barriers  limit access  health care  use acupuncture  chinese herbs   public health service  help   insured  anyone else  may benefit  chinese medicine   afford "
"814004992 2016","promoting good health  active lifestyles  cultural exploration  awareness travel exercise  community engagement  provide  service  community engagement   outlet  activity  touching  dempgraphic  need   alternative  sustainable form  transportation"
"814035839 2017","volunteer fire department  community  approximately 1400 residents"
"814037167 2016","general charitable purposes"
"814047572 2017"," spiritual healing  youth women  men"
"814047579 2017","  profit organization promoting youth leadership  philanthropy   community"
"814075549 2017"," identify  support qualifying nonprofit organizations working  maintain  preserve  braj region  india specifically  organization working  helping protect water reservoirs forests   cultural heritage   vibrant community"
"814095056 2016","organized  civic charitable  educational purposes including   limited  expanding  educational opportunities  students residing  berkshire county   emphasis  students   adams-cheshire regional school district   successors   maintain   relocate noahs place currently located  c.t plunkett"
"814103548 2017","connect students  careers health professionals  communities  cummunities  better health"
"814110390 2016","addiction counseling residential care"
"814117606 2017","venture cafe miami's mission   connect innovators  make things happen  organization helps innovators  enhancing  accelerating  growth  innovation  miami  high-impact programming  events   creating intentional spaces  entrepreneurial individuals  organizations  gather connect  build relationships"
"814135627 2017"," spread gospel  help   need  train christian leaders"
"814136887 2017"," promote   support selected charitable activities  grants funding  financial assistance  various individuals institutions  organizations dedicated   aid  assistance  jewish orthodox religious institutions   united_states  abroad  aid encourage stimulate foster  promote charitable  benevolent activities   support  kollel be'er hachaim  educational institution  young men providing  depth talmudic studies  training  become teachers  educators  israel   jewish orthodox religious institutions  domestic  foreign countries  make charitable grants   needy   poor"
"814158385 2016"," goal   program   reinforce exemplary behavior  helping  build self-esteem   also  intent  build bridges  trust throughout  community   publicly thank  youth   positive deeds  contributions   community"
"814173316 2017","legal services"
"814192561 2016","provide stem cell treatments "
"814215455 2017","support  develop  social welfare  improvement  aransas county"
"814215508 2017"," primary mission   entity   foster national  international sport competiition     limited  olympic style team  individual competitive shooting using rifles shotguns hand guns  archery   types  amateur sports  promote safety  education  team  individual competitive shooting"
"814218767 2017","supporting  education  health  children  kenya   foundation's sponsorship program mentorship program  job search program"
"814234620 2017","adoption services-the purpose   global wish foundation agwf   improve  lives  orphaned  disadvantaged children  helping  children find new families"
"814237534 2016","   mission duty  purpose  unity sme inc  educate  people   importance  social responsibility     part   world comes   responsibility  care  one another    duty  empower  men  women  children  curating  creating programs  allow    done   seamless fun  rewarding way    duty  educate society   able  provide  others  times  tribulation     obligation    option"
"814237534 2017","   mission duty  purpose  unity sme inc  educate alit   mission duty  purpose  unity sme inc  educate  people   importance  social responsibility     part   world comes   responsibility  care  one another    duty  empower  men  women  children  curating  creating programs  allow    done   seamless fun  rewarding way    duty  educate society   able  provide  others  times  tribulation    obligation    option.social responsibility     part   world comes   responsibility  care  one another    duty  empower  men  women  children  curating  creating programs  allow    done   seamless fun  rewarding way    duty  educate society   able  provide  others  times  tribulation    obligation    option"
"814241544 2016"," mission   help homeless kids   street  get   graduate high school perez family tree provides food shelter clothing  education"
"814257950 2017"," advance foster  promote equine activities involving quarter horses foaled    permanently based   state  florida  promote  conduct  horse racing  hialeah park  involves quarter horses   qualifying breeds  quarter horse racing foaled   permanently based   state  florida  foster promote  otherwise encourage  higher level  public awareness  acceptance   quarter horse industry  foster harmonious relations among  participants   quarter horse industry  foster promote  improve business conditions   participants   quarter horse meets  hialeah park hialeah florida  cooperate  equine organizations public  private agencies regulatory authories racing associations racing commissions   organizations involved   aspect   conduct operation  regulation   horse racing industry  florida including  example  florida division  pari mutuel wagering "
"814265748 2016"," provide food     afford  cost  food"
"814265810 2017"," provide arts programming   community  support  local artists  foster  appreciation   arts   younger generation including support   local schools arts programs"
"814267143 2017"," help educate  community  health  finances"
"814283521 2016"," provide charitable  educational services"
"814291634 2017"," promote health  healing  poverty stricken areas locally "
"814299589 2017"," proclaim  gospel  jesus christ"
"814303655 2016","assisting  help vets obtain  home assistance"
"814313920 2017"," mission   foundation   provide  healthy environment  facilities   general well    citizens   community"
"814317379 2017"," strive  save  many equines  possible  rehoming  rescuing  slaughter pipeline restore  heath retrain  maximize potential match   appropriate new owners  create awareness  education  prevent inhumane treatment  equines"
"814337938 2017"," preserve protect  enhance  71 mile legacy canal  support   jurisdiction   partnership  denver water"
"814349160 2016"," purpose    corporation  organized  provide christian pro-life education"
"814356215 2017","provide meals  children  families  need  educate"
"814371186 2017","providing assistance  families  foster children"
"814374777 2017","gg chronic pain foundation   non-profit corporation organized  educate  improve  quality  life  patients diagnosed   different types  chronic pain conditions  maximize  effectiveness  may seek  collaborate   non-profit organizations  qualify  non-profit corporations  section 501_c_3"
"814377673 2016","improve  lives  lgbtq women  girls worldwide"
"814388182 2017","leadership training  benchmark research  improve diversity  hospitality industry leadership"
"814401286 2017","gateways2life will develop  network  like-minded like-hearted communities across europe   needs  refugees will  met  body mind  spirit   may thrive  make  abundant life"
"814413442 2017","code 3 angels   non-profit organization bringing emergency medical services skills  training  people  developing nations  underprivileged communities throughout  united_states"
"814426662 2017","orphan care outreach ministry existing  educate equip  encourage  church  meet  needs   risk children  strengthen  families locally  world-wide"
"814428720 2017","  systematically propagate spiritual knowledge  society  large   educate  peoples   techniques  spiritual life  order  check  imbalance  values  life   achieve real unity  peace   world  build temples    values can  gifted   public b  propagate  consciousness   lord sri krishna revealed  bhagavad gita srimad bhagavatam c  bring  members   society together     nearer  krishna  prime entity vedic knowledge  self-realization  prime goal  life  thus  develop  idea within  members  humanity  large   soul  part  parcel   quality  godhead krishna d  teach  encourage  sankirtan movement congregational chanting   holy names  god  revealed   teaching  lord sri chaitanya mahaprabhu  well  caring   welfare  cows  per  beliefs  show  validity   purpose  life sustai"
"814432716 2017","church eclesiastical services collecting distributing goods     public assist  needees spiritually sociall materially"
"814433535 2016"," organization's mission   carry   maintain  branches  religious work  endeavor"
"814451160 2017"," vault exists  provide  safe  healthy environment  social academic  spiritual growth  teens can develop relationships  caring adults  foster  sense  value  purpose  well  model  coach  hard work ethic  community service values"
"814488414 2017"," school program"
"814501594 2016","nurtured mindset   non-profit organization  provides financial literacy education programs  tools  efforts  prepare future generations  financial freedom success  wealth"
"814505130 2016"," organization's mission   help defray  costs   interscholastic high school hockey team  sponsorship  fundraising events"
"814506011 2017","yasiel puig's wild horse children's foundation aims  inspire children  families  underserved communities  promoting healthier  better quality lives  education sports community development  health  wellness programs"
"814506339 2017","  hope gives hospitalized children   families  tools  need  dream beyond  confines   hospital room  providing hope boxes filled  art supplies  project ideas children  transported   current situation    incredible"
"814507515 2017","utilize  time  talents   team members  support  efforts  communicites within  central florida region   work  sustain healthy citizens  simply seek opportunities  provide help  support  areas  unify  strengthen communities"
"814522910 2016"," provide assistance   local refugee population"
"814542024 2017","echo helps guide    desperate   therapeutic effects  cbd  cannabinoids   comprehensive approach consisting  education collaboration  hope recognizing    strength  numbers echo aims  offer  one-stop shop   pursuing cannabinoids can seek knowledge  support   trustworthy  safe environment  connect  doctors  can help"
"814557389 2017"," provide financial support    cure  cancer"
"814561616 2017"," organization's mission  charitable educational  religious activities promoting learning  personal growth  ethics  philosophy  locally  internationally"
"814572101 2017"," mission   international society  electroporation-based technologies  treatments   promote  advancement  scientific knowledge   interactions  pulsed electric  electromagnetic fields  ionized gases  biological systems cells tissues organisms molecules  materials   emphasis  electroporation   facilitate  development  applications based   phenomena  biology medicine biotechnology  food  environmental technologies  society fosters collaboration  exchange  ideas  information among scientists technology users   interested parties  accelerate  dissemination  new findings  supports research education  training   organization  sponsorship  congresses conferences workshops  schools"
"814573528 2017","public support  vermont's military military families "
"814576807 2017","builing people  relationships  relationships    healthy   people  "
"814576973 2017"," grass roots  volunteer-driven orhanization whose mission   address"
"814581936 2017"," mission   organization   stop animal suffering  neglect  promoting responsible animal welfare practices"
"814587481 2016"," transaction     lawful business   corporations may  incorporated   illinois business corporation act"
"814606895 2017"," build community  financial education  empowerment"
"814609502 2017","public education  lyme disease"
"814611423 2017","empowering youth  achieve  potential especially girls developing  understanding    unbiased  equitable world providing space  access  inner peace  harmony"
"814618590 2017"," salter path museum inc   public non profit organization  promotes  local visual arts  well  preserve  history  salter path north carolina"
"814621544 2017"," promote amateur  youth sports"
"814622156 2017","provide food  personal items  homeless  families  need"
"814622309 2017","specific purpose   promote health nourishment education "
"814638035 2017"," promote culture  charity  community"
"814656311 2016"," enable leaders  diverse backgrounds  create resonating sustainable change   business community   world  revealing  nurturing  unique leadership strengths"
"814661006 2016"," provide  help   poor  less fortunate   community"
"814683483 2017","develop  promote educational"
"814691252 2017","provide health information  education"
"814700644 2017"," provide travel baseball  local youths  include training  competitive matches   non-profit youth baseball organizations"
"814713449 2017"," provide  museum depicting  importance   railroad industry   economic development   lakes region  new hamphire  museum will display  model railroad   routes within caroll county new hampshire"
"814720645 2017"," support  formation   seminarians"
"814723400 2017"," corporation  organized exclusively  educational purposes  specified  section 501_c_3   internal revenue code"
"814741839 2017","day care center"
"814746690 2017","dog rescue"
"814770058 2017","strenthen family relationships help construct  healty self esteem   youth   maintain  youth away   detrimintal enviornment   streets"
"814770295 2016"," provide  home respite care"
"814774757 2016"," provide integrated behavioral health services  persons served  invision customized services  others"
"814778227 2016","center  restorative solutions engages  systems solutions concerning educational equity  juvenile justice  response   impace  violence  poverty  provide restorative  trauma informed capacity buidling services  school districts individual school sites  mental health agencies  advocate  system change efforts  build equitable opportunities     families can engege  thrive"
"814793620 2017"," strengthen low socio-economic families  neighborhoods using  community economic development strategy promoting positive mental health"
"814806590 2017","provides workforce development education  traing  veterans   u.s military"
"814810991 2017"," mission  north texas community table inc   fight hunger  north texas  preserving  dignity    serve  providing food   basic necessities    tarrant county   parts  north texas  suffer  hunger   need  informing  wider community   needs   hungry   providing education  programs  will help educate  public  hunger  north texas   provide alternative programs  means  distributing food   necessities  help meet  need"
"814830385 2017"," nbsp increase nbsp public nbsp awareness nbsp  nbsp  nbsp need nbsp  nbsp marriage nbsp counseling nbsp  nbsp  nbsp christian nbsp enviroment"
"814831662 2016"," help  needy  become able  sustain several areas   lives including health finance  well  education among others"
"814831697 2016"," primary purpose   organization   provide education   theater arts  adults  children  thereby inspire nurture challenge  empower artists  audiences  provide  outlet  creative community involvement  participatory theater"
"814845898 2017","providing medical training  support   served areas  united_states  developing countries"
"814851682 2017","mame jaara foundation believes  girls education   silver bullet  empowerment  promotes societal progress  struggling regions   world"
"814876218 2017"," deliver professional administration management  coaching  players parents teams  athletics"
