"","programs.corp6"
"812816032 2016","provide opportunities   youth  newport county  play  game  basketball   safe educational environment  goal   help young people build strong character  realize  full potential  promoting respect understanding  cooperation amongst  peers butler basketball club will work  educate athletes   positive aspects  life  achieve success   result  aim  maintain positive relations  city managers city schools community businesses  nearby neighborhoods butler basketball club's volunteers  board members  share  common goal  creating  environment   youth  compete learn  socialize  will help  instill  vital development assets  fair play hard work  tolerance"
"812819648 2017","foster family pot luck  provide support  families  providing others going    experience"
"812819829 2017","golf event proceeds donated   foundation   young women's leadership academy  fort worth"
"812830936 2017","community events  help students  need"
"812833997 2016","granting  relief  assistance   town  ulster  catskill ny   needy  impoverished victims  charitable organizations  natural calcmities  disasters   famine earthquake flood fire pestilence plaque medical emergencies automobile   accidents   sudden urgent  unforseen occurrances  giving donations   assistance   needy  improvised victims"
"812846768 2016"," organization organize soccer league   financed   league participants    benefit"
"812849819 2017"," 2017  one significant programstand  eight  program dedicated  empowering adoptive families  immediate  lasting change  providing trauma-informed behavior management intervention   homes services provided home visits every  week  guide  monitor progress comprehensive strengths  needs assessments   family individualized behavior intervention plans specific   family support  staff  scheduled home visits connections   service providers  additional resources"
"812883944 2017","cyber security consulting"
"812886744 2017","raise appreciation  awareness  illustration   many forms  providing people   ages  opportunity  learn directly  master artists  working professionals  exhibitions  workshops provided  public libraries"
"812890446 2016"," provide financial assistance  scientific research  will include   limited  medical research literary  educational purposes"
"812894755 2016","beat  odds inc plans  host life skills education  mentorship seminars  children  need within  nashville tn area  seminars will take place   bi-monthly basis  will consist  guest speakers motivational speakers guidance  educational workshops"
"812894755 2017","beat  odds inc plans  host life skills education  mentorship seminars  children  need  seminars will take place   bi-monthly basis  will consist  guest speakers motivational speakers guidance  educational workshops  organization also held  back  school clothing  supply drive  entertainment food autographs  gifts  foster children"
"812900152 2017"," established four basketball teams  competed   amateur athletic union aau basketball circuit"
"812905667 2016","  athletic purposes  organizing  managingthe operations   lockport soccer team  youthsoccer team derived  participants  cook will  county area"
"812945459 2016","established  solid foundational group  13 heirs made  12 minute teaser reel   full feature film   intended  document  kids journey  starting  global movement   ground  created  logo  worked  effectively brand heirs  youth leaders  ocean conservation  established  kids working  expert mentors"
"812946419 2017","walk  fame international   city  san diego   conversations   u.s navy  sponsoring  honor walk admiring  city's rich naval heritage  new attraction  san diego nautical mile will help let everyone know  san diego's impressive maritime tradition"
"812960421 2016","organize  provide competitive youth soccer games  members"
"812960421 2017","memorial day tournament"
"812962800 2016"," empower community families  small business owners  succeed  responsible life-long learners"
"813003343 2017","program service provides financial  social assistance  support services  united_states veterans returning home  service"
"813003647 2016","  current period tahdah funded grants  community schools   reached  500 kids  grades k  8 children   given access   participated  after-school  in-school programs  included world music drumming capoeira afro-brazilian dance  singing"
"813016586 2016","providing missionary support  various african nations"
"813019217 2017","direct research funding   therapy  cure  charcot marie tooth disease type 4j"
"813020602 2017","larc expanded  2017  take     wolfdogs   formerly housed   sanctuary  new hampshire  order  condense expenses resources  employees     important reason  provide better lifetime care   elderly  arthritic animals    live   cold new england winters larc also engaged  wild wolf protection   wolfguard campaign  washington idaho  montana larc prepared   biggest rescue since  began 67 wolves  minnesota  2017 seenty handmade galvanized steel transport crates 4x5x3  built  matthew simmons   veteran crew multiple trips  made  minnesota   rescue   animals  planned  2018   time  will  shut   awful wolf fur farm"
"813020602 2016","combining animal assisted work therapy  job training   interactive therapeutic community  help  re-socialization   ensure  healthy future   veteran  rescue animal"
"813022018 2017","veteran therapy veterans interface  rescued horses   farm  individually    veterans farm served  100 veterans   families   way slaughterhouse horse rescue  secondary mission"
"813029922 2016"," organization fulfilled  exempt purpose  donating 40,000   san antonio livestock expo  support  lamb auction"
"813051645 2016","charitale activity  underprevilaged children"
"813057248 2017","help children  autism 10 children benefited   program"
"813066611 2017"," inform  general public  contributions   marijuana industry  members   jewish community"
"813066621 2017","maintained lgbt community service websites throughout california's central valley 10,000 people benefited funding  unrestricted donations   general fund"
"813083133 2016","provided professional development programs  members   association traning enhanced  delivery  services  head start children  families"
"813083133 2017","conducted professional development programs  members   association provided training  enhance  delivery  services  head start children  families"
"813096119 2017","joshua attorney fee  registration fee wired fee  state tax  2016 charity given  usa"
"813114373 2017","finding loving  healthy solutions   rescue  placement  dogs   deemed unwanted   abandoned"
"813115229 2016"," museum facility  contents  transferred   non-profit   began long needed repairs  updates purchased essential infrastructure items   insurance  accounting software conducted market research  membership categories  levels conducted  opening ceremony attended  local dignitaries  officials completed exhibit loan agreement  new mexico state university   dozen items  opened  museum  public tours"
"813127262 2016"," assist low moderate income individuals   families  obtaiing adequate housing      able  afford without assistance  support finance construct lease operate  act   developer  affordable housing provide supportive services community development activities  benefit low moderate income individuals  families"
"813144354 2016","women centered 4 success inc   nonprofit corporation  shall"
"813156995 2017","public assistance-groceries  home supplies"
"813164860 2017","educational workshops also hosted within  community lab space   educational workshops open   general public  anyone  able  learn common biology protocols   hands-on way throughout  year soundbio ran nearly 10 workshops   lab   number  participants   session ranging  5  20 people"
"813169482 2016","dedicated  serving  vibrant community  implementing sustainable programs 1-minneapolis food bank helping  community figt hunger 2-minneapolis kitchen  provide good healty  nutritious food   homeless   needy   community 3-minneapolis youth empowerment center help youth build character  realize  full potential  providing learning tools   safe  friendly environment"
"813170089 2016"," raise funds  purchase new toys  accepting  new toys   distributed   501_c_3 organizations"
"813177487 2016","foundation provides students  opportunity  defray  costs associated  higher education"
"813185870 2016","provided coaches equipment  uniforms  11 teams  approximately 200 kids train coaches  players  concussion testing provide  emt   practices    game"
"813207153 2016","received items form retail partner store program  fair market value amount listed "
"813211646 2016"," corporation engaged  charitable activities makeing distributions  charitable purposes  providing lectures seminars symposia  workshops"
"813214114 2017","rohiga donations medical supplies  cost incurred  go  bangladesh"
"813215421 2016"," provide 24 hour care  physically  mentally disabled adults"
"813215812 2016","providing capacity building services  nonprofit  faith-based organizations  assist    areas  community development including strategic planning sustainability planning training  program development initiated  process  working closely  faith-based organizations  pilot  collective impact initiative  marginalized communities"
"813218015 2017","provide early education  child care services"
"813230373 2017","1 participated  design pavilion  times square ny  may 2017  thousands  people viewed  foundation's exhibit  learn   problem  trash   see solutions  individual designers  artists  saw trash   opportunity  inspiration  action 2 put   exhibit  santa monica ca  one artist  used discarded domestic accumulation  fashion everything  furniture  jewelry  wall art 3 showed  exhibit  los angeles ca  internation work including short biographical videos  international artists  collectives modeling economic uplifht using detritus  included  weekend free family workshop  people   ages came  make objects  art   trash  workshop   collaboration  rediscover center  culver city ca"
"813241387 2016","initial year raising funds  educational servcies  women  young adults"
"813243497 2016","vehicles  repaired   charge  community residents  need"
"813243497 2017"," 2017 69 vehicles  repaired  donated  needy individuals   community"
"813253591 2017","donations  conservation programs  local conservation organizations"
"813258196 2016","human service"
"813258678 2016","legal  professional expenses"
"813270538 2017","getting  word   gcha  festivals newsletters social media wesite  brochures sold tshirts 1976 centenial books  raffle tickets"
"813289163 2017"," provide educational programs   community  restoring  preserving historic properties"
"813300700 2017","tuition scholarships  teen parents"
"813322182 2017"," organization participated  several events   year  contributed  multiple sports  academic organizations"
"813322182 2016"," organization participated  thirty-three events   year  contributed  multiple sports  academic organizations"
"813358832 2016"," purposes   financially assist families   jewish faith  financially support charitable organizations whether local  international    acts useful suitable  proper  accomplish  activities"
"813366871 2016","orphan support services"
"813381516 2017"," organization provides assistance  youth organizations encouraging interest  stem throughout new jersey"
"813393657 2017","grief support"
"813395723 2017"," provide  safe haven  farm animals    abused  otherwise  cared    humane manner funds will provide  housing food  veterinary care  well  support public education   proper care  treatment  farm animals"
"813419222 2017","small support  transportaion  commuicaiton provided wihout enagement  focal person    possible     works"
"813422723 2016"," foster  arts  exposing disadvantaged  priveledged children  theatre dance  visual arts"
"813430384 2016"," corporation  organized  existing   missouri nonprofit corporation act exclusively  charitable educational  scientific purposes within  meaning  section 501_c_3   internal revenue code  1986  amended  code"
"813443795 2017","putting   livestock show  sale   county 4-h  ffa members  exibit  educational projects"
"813464798 2017","n "
"813465847 2017"," provide home employment  seniors  communicate  seniors age 60  65 informing    free service  provides informational literature  help  understand  choose  appropriate options   social security  medicare needs  mail letters   people informing    program availability"
"813475487 2017","provided in-kind property management  space design covered costs  cultural awareness  arts events provided in-kind project management services"
"813494275 2017",""
"813556651 2017"," provide housing assistance  support  families  handicapped  special needs children"
"813558267 2016"," organization provides assistance  homeless    risk   homeless"
"813575032 2017","dj workshops ktb  provided  alternative  traditional music programs  blends technology  basic music concepts  teaches children  blend songs  learn   career pathways available  "
"813575891 2017"," provide christ center counseling guidance materials  retreats  foster mens spiritual growth  accountability  provide short term transtiional support  individuals  families facing shortage  food   inability  pay medical expenses  support christian family ministries"
"813582468 2017","medical mission  tanzania"
"813594639 2017"," orginzation  still   planning  organizing stages   main purpose    pathway   affordable housing  community development"
"813600619 2017"," provide scholarships  deserving individuals  allow   obtain educastion beyond  primary twelve grades"
"813605794 2016","t.e.k foundation cc inc  organized exclusively  charitable religious educational scientific purposes  also making distributions  organizations  qualify  exempt organizations  section 501_c_3  internal revenue code"
"813612322 2016"," provide religious education programs   continue developement  religious educations"
"813626667 2017","plan  execute  nine-month educational program  present issues  future goals   metro jackson area   effort  improve  quality  life   entire community"
"813641518 2017","feed  hungry  help   trouble"
"813644774 2017","educational  entertainment"
"813659674 2016","haven's programming utilizes three tiers  services  youth  families experiencing domestic conflict   means  preventing teen homelessness  incarceration 1 peer  community support 2 psycho-educational programming  strengthen families abilities  safely deal  conflict 3 residential respite care"
"813666984 2017","rescue homeless canines  crowded shelters  well  situations  abuse  neglect  rehabilitate  rehome    help  animal advocates veterinarians shelters  rehabilitation centers"
"813668773 2017","donations"
"813684140 2016","new york elite volleyball inc endeavors  train  develop athletes  volleyball skills promote sportsmanship inspire respect   rules   game engender friendship  competitive environment   accomplished  developing youth  participate  tournaments  teams   local region  well   states  areas  activities  currently funded  participant fees   general public  will  funded   future  grants  donations   general public"
"813685546 2017","swimming meets"
"813692372 2017","support  families   come   united_states  escape  war-torn countries"
"813701971 2017"," provide need resources  military  first reponder heroes    injured  suffered illness  serving  country  local communities"
"813709722 2017","southern california soccer officials association   nonprofit mutual benefit corporation organized  promote  education  training  individuals  prospective officials  various levels   sport  soccer"
"813736577 2016","none  2016"
"813741378 2017","artemis farm rescue's primary goal   end equine suffering  rescuing miniature horses  donkeys  providing    higher quality  life  animals  given  idyllic safe haven  veterinary care  rehabilitaion   intention  finding  proper  loving homes"
"813741458 2017","charitable  educational"
"813744838 2016","raised money  homeless youth  others  need  donations  fundraising events"
"813746772 2017","sadie's sleigh"
"813767857 2017","support  teach dance"
"813770138 2016","none"
"813786834 2016"," memory  rebecca weissbard  organizations primary goal   provide disadvantaged youths  thge opportunity  share  love   equistrian sport   spirit  rebeca  pursued excelled"
"813818377 2017","gigis house  dedicated  serving girls ages 13-19    risk  becoming  victim  sex trafficking  provide  safe home    18 months.in addition  safe housing  provide individual  group trauma-informed therapy   licensed therapist home-school mentoring life skills daily self-confidence building activities  much   team  passionate  helping  girls develop practical  emotional life skills    can survive  healthy adults  build  futures  deserve"
"813834200 2017"," provide  week long camp  year long mentorship program  children  abusive situations  southeastern nebraska"
"813844173 2017","dissemination  research  research result staff training"
"813855050 2016","lehachyos saves children  families  literal starvation  providing    basic food necessities  health expenses"
"813859689 2017"," 2017  took  1,680 dogs  cats   result   efforts 70  adopted 10  rescued  18  returned   owners"
"813881226 2017"," corporation provided christ-based counseling services based   values  corporation believes christ taught  restoring hope respect dignity  self-worth  every person  encounter"
"813891401 2017","freedom fidos rescues dogs  shelters trains    tasked trained service dogs  provides   free  disabled veterans children  special needs  first responders"
"813902255 2017","placement  unwanted canines felines   forever homes"
"813962614 2017","provide clothing   discounted rate along  help  various items"
"813972608 2016","organization dedicated   development  training  young athletes wallkill youth lacrosse inc endeavors  train  develop young athletes  lacrosse skills promote sportsmanship inspire respect   rules   game"
"813983000 2017"," create affordable housing   city  herreid sd"
"813988420 2017","public access  accupunture  chinese herbal remedies"
"814004992 2016"," program includes  implementation  launch   sustainable bike share program   city  salem oregon   use  strategically placed kiosks community members  visitors will   opportunity  access  mechanically maintained  gps tracked fleet  bicycles"
"814035839 2017"," 2017  lone oak volunteer fire department prepared 42 food boxes  37 families   community additionally children's gifts  obtained wrapped  delivered  64 children"
"814037167 2017","general charitaable program services"
"814037167 2016","general charitable purposes"
"814047572 2017","education"
"814047579 2017","furthered  youth leadership thru training"
"814075549 2017"," identify  support qualifying nonprofit organizations working  maintain  preserve  braj region  india specifically  organization working  helping protect water reservoirs forests   cultural heritage   vibrant community"
"814095056 2016"," raise funds  support  noah brown scholarship"
"814103548 2017"," ahec  summer health career exploration program provides job shadowing experience classroom education cpr certification  career options  health care  approximately 223 high school students  22 community hospitals federally qualified health centers  rural health clinics throughout north louisiana"
"814110390 2016","provice professional counseling  residential care facilities  alcohol  drug rehabilitation"
"814117606 2017","thursday gathering  organization hosted weekly gatherings throughout 2017  events  free  open   public"
"814135627 2016"," spread gospel  help   need  train christian leaders"
"814135627 2017"," spread gospel  help   need  train christian leaders"
"814136887 2017","charitable grants   needy   poor"
"814158385 2016","    programs   october 31 2017"
"814173316 2017"," activity  year"
"814192561 2016","n "
"814215455 2017","educational program involving  mobile memorial  exhibit program designed  educate  community   historical event"
"814215508 2017","team shooting sports"
"814218767 2017","sponsorship  8th grade students  nairobi kenya  provide educational support inlcuding purchase  textbooks school supplies medical costs"
"814234620 2017","adoption services"
"814237534 2016","unity sme inc provides education   importance  social responsibility   creation  events   santa's little allstars toy drives  events focus  educating children   social responsibility   giving back   community  fun  encourage children  bring toys   event   can gift-wrap  toys  donate    organizations  groups  distribute   children  families  need  provide wrapping paper  supplies   volunteers help  children wrap  presents"
"814241544 2016","still working  obtain grants"
"814257950 2017"," advance foster  promote equine activities involving quarter horses foaled    permanently based   state  florida  promote  conduct  horse racing  hialeah park  involves quarter horses   qualifying breeds  quarter horse racing foaled   permanently based   state  florida  foster promote  otherwise encourage  higher level  public awareness  acceptance   quarter horse industry  foster harmonious relations among  participants   quarter horse industry  foster promote  improve business conditions   participants   quarter horse meets  hialeah park hialeah florida  cooperate  equine organizations public  private agencies regulatory authories racing associations racing commissions   organizations involved   aspect   conduct operation  regulation   horse racing industry  florida including  example  florida division  pari mutuel wagering   public  formulating fair  appropriate laws ruls regulations  conditions  impact   manner pari-mutuel wagering  racing activiteis   ensure  fair  equitable enforcement   laws rules  regulations  represent  interests  rights   members   matter concerning racing association jockeys organizations   horse racing indusrty related organization"
"814265748 2016","provide food      afford "
"814265748 2017","provide food     afford "
"814265810 2017","concerts free  reduced rates   public   village  tully  included  memorial day parade summer theatrical shows fall shows christmas shows halloween night activities christmas season shows  special concerts throughout  year.artist activies included meeting  artists  display   works  art.workshops  children  adults including advanced pumpkin carving glass blowing  quilting"
"814267143 2017","still   initial stages"
"814283521 2017","health conferences"
"814283521 2016","education services"
"814291634 2017"," revenue"
"814299589 2017","daniel fusco ministry   christian broadcast ministry  allows god  move across  nation   world every single week  ministry leads men  women   ages races  backgrounds   far  god let    things   used  try  fill  hole   heart chosing  say yes  jesus  2017  400 people committed  lives  jesus   ministry"
"814303655 2016","corporation incorporated late   year   effort  assisting  help vets obtain home assistance  coporation  obtained property   intends  sell  raise money   purpose"
"814313920 2017","site preparation  planned  conducted   supervision   architectural firm  land  formed  drainage  installed general landscaping  planting  trees  conducted  playground area  developed  furnished   youth   area  walking trail  built   benefit   local residents  farmers market pavillion  built   local farmers  provide fresh produce   residents   town  county  gazebo   pond  built  areas  paved  parking older structures   property  extensively refurbished"
"814317379 2017","herd  dedicated  educating  public  overbreeding  fate   countrys wild equine population   equines going  slaughter herd utilizes social medial   started  speakers bureau artciles focusing   organizations work   featured locally  well  nationally  30 second psa   produced"
"814337938 2017","preserve protect  enhance  high line canal  leadership stewardship advocacy  education  organization's vision   future   permanently preserve  71-mile linear greenway  creates connections enhances recreation leverages economic growth  improves environmental health"
"814349160 2016","none   time just organized"
"814356215 2017","meals provided  children  families"
"814371186 2017","providing assistance  families  foster children"
"814374777 2017","gg chronic pain foundation   non-profit corporation organized  educate  improve  quality  life  patients diagnosed   different types  chronic pain conditions"
"814377673 2016","none   yet  initial stages  setup"
"814377673 2017","donorschoose.org  tegan  sara foundation  partnering  donorschoose.org  increase access  lgbtq-inclusive curriculum  public schools nationwide"
"814388182 2017","delivered  leadership development program  executive women   hospitality industry"
"814401286 2017","provision  essential needs creation   context  community safety adn dignity  refugees counseling admin assistance  education training served approximately 6,100 refugees"
"814413442 2017","bringing emergency medical services skills  training  people  developing nations  underprivileged communities throughout  united_states"
"814426662 2017","orphan care outreach ministry existing  educate equip  encourage  church  meet  needs   risk children  strengthen  families locally  world-wide"
"814428720 2017","n "
"814432716 2017","contributions"
"814433535 2016","providing leased premises  religious nonprofit organizations  host religious retreats camps worship events  activities"
"814451160 2017"," vault exists  provide  safe  healthy environment  social academic  spiritual growth  teens can develop relationships  caring adults  foster  sense  value  purpose  well  model  coach  hard work ethic  community service values"
"814488414 2017"," school program"
"814501594 2016","nurtured mindset   new non profit  program service accomplisments   yet availlble"
"814505130 2016"," organization's primary program   help defray  cost   high school hockey program   members  sponsoring fundraisers  various  events"
"814506011 2017","various grants  schools   organizations"
"814506339 2017","  hope gives hospitalized children   families  tools  need  dream beyond  confines   hospital room  providing hope boxes filled  art supplies  project ideas children  transported   current situation    incredible world   imaginationlifting  spirits improving  quality  life  promoting hope  recovery  parents  guardians hope boxes  designed  support    critical role  caregivers offering inspiration   much-needed creative outlet.beyond  box   hope sponsors interactive family events  provides continued support   families  serve   caring  unique approach  seek  promote  culture  courageous creativity  pediatric patients  families   larger community.in 2017  program delivered 950 hooe boxes   950 beneficiaries  hope box cost 25.00  prepare"
"814507515 2017","utilize  time  talents   team members  support  efforts  communicites within  central florida region   work  sustain healthy citizens  simply seek opportunities  provide help  support  areas  unify  strengthen communities"
"814522910 2016"," organization provides assistance   local refugee population"
"814542024 2017"," echo connection provides  online research library linking medical  scientific studies   healthful benefits  cannabinoids    react naturally   body's many different systems"
"814557389 2017"," provide financial support   cure  cancer"
"814561616 2017","sponsored jewish community infrastruture  jewish educational programs provided assistance  needy individuals"
"814572101 2017","   scientific meeting  allows scientists  members  nonmembers  attend  present  latest research  meet   scientists  addition vendors   opportunity  set  booths displays   show latest products  may   interest  attendees"
"814573528 2017","support  vermont's military  military families"
"814576807 2017","building people  relationships  relationships    healthy   people  "
"814576973 2017","mobil soup kitchen  mobil soup kitchen  developed  introduced  directly serve  experiencing hunger  food insecurity  serves 1,000 meals  week parking   serving food  strategic points  north brooklyn area  meals  prepared  cooked   organization's volunteers   state-of-the-art commercial kitchen dedicated   north brooklyn angels meal service"
"814581936 2017"," organization's primary objective   provide veterinary services    need   attempt  promote responsible animal welfare practices"
"814587481 2017","totally active seniors  inspire  senior  get involved   live  better life"
"814606895 2017","achieve grant  scholarship program awards local children  entrepreneurs  monies  higher education   help start  business"
"814609502 2017","public education  lyme disease"
"814611423 2017","established fund  executing mission statement visit  learning centers  india donating time weekly  conduct english speaking lessons via skype supplying tablets  online interface  learning centers"
"814618590 2017"," provide  place  local artists  craftsmen  display  offer  work"
"814621544 2017","n "
"814622156 2017","provided household items  hurricane harvey victims   left homeless"
"814622309 2017","supply food  medicine  medical supplies  people  venezuela"
"814638035 2017"," preserve communities  benifit immigrants  neighborhoods   provide cultural activites"
"814656311 2016","programming will begin  calendar year 2017"
"814661006 2016","provided help   needy people  cancer treatment"
"814683483 2017","inactive initial year"
"814691252 2017","   donation  trustee  350,000   year 2017"
"814700644 2017"," provide travel baseball  local youths  include training  competitive matches   non-profit youth baseball organizations"
"814713449 2017","create  operate  model railroad museum   education  enjoyment   general public"
"814720645 2017","provided moral  spiritual support  seminarians"
"814723400 2017","early childhood program  ages 6 weeks  starting kindergarten"
"814741839 2017","day care center operation"
"814746690 2017","organization  able  help 304 dogs get adopted    home"
"814770058 2017","family event  youth"
"814770295 2016"," provide  home respite care"
"814774757 2016"," provide integrated behavioral health services  persons served  invision customized services  others"
"814778227 2016"," corporation   nonprofit public benefit corporation    organized   private gain  amy person   organized   nonprofit public benefir corporation law  public  charitable purposes"
"814793620 2017","provided counseling residential  case management services   help  families  transition including housing resources job readiness training mentoring  certified peer support operated food bank"
"814806590 2017","provided workforce development education  traing  veterans   u.s military"
"814810991 2017"," 2017 north texas community table inc provided food assistance  434 unduplicated families"
"814830385 2017","non-profit  able  continue  marriage counseling efforts based upon funds received   public   controlling expenses"
"814831662 2016"," help  needy  become able  sustain several areas   lives including health finance  well  education among others"
"814831697 2016","education  theater arts"
"814845898 2017","trip  cameroon  perform free surgeries  train medical personnel"
"814851682 2017","mame jaara foundation believes  girls education   silver bullet  empowerment  promotes societal progress  struggling regions   world    mame jaara foundation  dedicated  support  mame jaara school  girls  porokhane senegal  school  unique  sub-saharan africa    one    institutions  provide full 4  5 year internship  450 disfranchised girls age 7  15  study different activities  free  cost   scope   foundation mission expands   near future mame jaara foundation will  dedicated  promote young girls education   places  sub-saharan african countries  young girls  growing   poverty  foundation   organized  promote young girls education  achieve  permanent change   lives  enables    self-sufficient productive members  society"
"814876218 2017"," provide team uniforms caps etc  program participants  field youth teams  organize athletic events  kids 10-18 including baseball softball basketball  track field  purchase uniforms  distribute   players  coaches "
"814897907 2017","baby shower program"
"814902595 2017","kick  fund raiser held june 24 2017 approximately 75 people attended"
"814919858 2017","enrich  lives  children  providing hope happiness   opportunity  excel  inspire   power   smile  enhance childrens future  community outreach programs mentorship education  volunteering"
"814924918 2017"," provide charitable relief food  clothing  support   needy orphaned children  mental  physical disabilities  underprivileged people according  jewish doctrine   united_states  israel  act   outreach organization  promote  principles   jewish religion  judaism  seminars meetings  weekend  holiday retreats promoting  sabbath  jewish holidays  strengthen  religious moral  intellectual values  members   community   families  order  bring families together   promote jewish values including giving charity  showing respect  kindness  others also  help support related religious non-profit organizations  promote judaism  provide charity  individuals  need"
"814945849 2017","national justice database  2017  organization realized significant expansion   number  law enforcement agencies wanting  participate   national justice database"
"814954470 2017","empower nonprofits  create compelling awareness  call-to-action"
"814958806 2017","elderly  children summer nutritional program"
"814976186 2017"," confederation  working equitation provided charitable benevolent  educational activities  develop  promote  equestrian sport  working equitation   united_states  civic undertakings included educational seminars  training national  regional events member achievement awards  acknowledgements  well  educational materials  promote  equestrian sport  working equitation   united_states"
"814999224 2017","organization  recreational sports teams  activities  members"
"815020070 2016"," purpose   organization's 1st accomplishment     irc section 501_c_3"
"815059835 2016"," organization started  work   strategic planning phase   activities"
"815070384 2017"," purpose   provide  character building team oriented athletic environment  boys   opportunity  play baseball"
"815104710 2017","address food  nutrient desert problem  access  fresh local healthy food  transforming community centers  hydroponic aquaponic  greenhouse-driven micro-farms"
"815104966 2017"," ensure help   families   community immediate financial help  give gudiance  problem solving methids    risk youth"
"815106159 2017"," hope starts  food bank started   means  feed families  need   south denver metro area  organization currently feeds  400-500 families  week"
"815137046 2017","provide quality healthcare services  low-income families"
"815147316 2017","  dedicated  educating youth   conservatory approach  theater training  creating performance opportunities  students  theater experiences   local community"
"815155527 2017"," includes salaries utilites  supplies  church"
"815168645 2017"," provide  event co-production platform  emplowering charities  schools   ability  co-produce  consoldated running event benefiting multiple partner organizations"
"815219711 2017"," built  primary school  provides access  education    three hundred children  orit barpunu  complex  four buildings including seven classrooms  administrative building  kitchen  student staff bathrooms"
"815223214 2017"," company  spent approximately 2,400 shipping clothing shoes  similar items  africa  balance   expenses  fundraising related"
"815247444 2017","purchased equipment  uniforms   football camps"
"815249970 2017","warriors  grace ministries participated  numerous mission projects   year  2017  ministry began  2 2017  501c3 status  obtained 3 2017  profits funds available   year  2017  obtained  fundraising  donations  5 13 17  made goody bags  local law enforcement officers  show  appreciation   sacrifices  selfless service wbg ministries  also able  help send children  summer camp  5 2017  june  july   able  participate   financially support feeding  local homeless population  providing  meal  july 11 ministry team members spent 8 days  costa rica   international mission trip evangelizing   local citizens   cartago area  donations  funds provided   ministry   able  provide clothing  food  needy local families  children  costa rica  september   able  send snack bags  bottled water  texas  aid   hurricane relief  funds donated specifically   purpose   able  purchase bilingual bibles   used  sharing  gospel  future mission trips  spanish speaking populations wbg ministries adopted 2 families    need  provided christmas   children  december  funds raised  fundraisers wbg ministries  able  sponsor  send  high school senior  4 college students  passion conference  december"
"815277445 2017","organize events  raising funds  promote  development  bo city sierra leone  community projects  educational supports  elementary  high school"
"815293344 2017","99 1   non-denominational charity organization whose mission   provide physical  spiritual relief  individuals  need god  given us  passion  aviation therefore airplanes serve   ministry tool"
"815308319 2016"," foundation  raised funds  preparation  receiving  renovated home  t thomas fortune  will house  cultural center  provide space   foundation's education  public programming mission expenses  incurred  support   fundraising efforts five programs  scheduled   conducted including 1 teacher training  teachers  public  private schools  teach  lessons  t thomas fortune 2 fortune teller  students ready  take   complex issues  justice civil liberties  equality  civic engagement 3 reading fortune brings history  community  presentations seminars exhibits  performances 4 fortune research  writing academy5 financial literacy  community members  need  financial education"
"815353675 2017","provided education services via  civic leadership program  youth leadership programs program  delivered  partnership  deanza community college  jointly funded   foothill deanza foundation"
"815365028 2017"," preserve  enhance  rural recreational educational  scientific resources"
"815391377 2017","public donations"
"815401258 2017"," grants  expenses  initial year"
"815408487 2017","corporation helped ashoka university  india   vision  promote higher education  india  present   50 per cent  students    form  scholarship    undergraduate  postgraduate programmes ashoka offers two programmes  undergraduate degree   postgraduate diploma   liberal arts   short term ashoka will launch  limited range  phd  masters programs"
"815413715 2017"," provide support  health care education  entrepreneurship  underserved  low income communities"
"815414489 2017","fundraising projects  held  afford  opportunity  educate youth   benefits  embracing  outdoors    outdoors   offer"
"815415938 2017","just getting started made contacts   volunteer  india  will assist   indian part   organization"
"815450574 2017","provided support  finances   organization"
"815455936 2017","rehabilitate local park  playground  restoring facilities  purchasing  installing new playground equipment"
"815466506 2017","merchandise sales uniforms t-shirts sweatshirts"
"815466811 2017","serving family caregivers  persons  serious mental illness smi mental healthcare professionals criminal justice professionals  others involved   care recovery  safety  persons suffering  mental illness disorders"
"815473352 2017","empower teen girls  become leaders"
"815482004 2017",""
"820590946 2017","founded  disabled veterans  organization   equine animal rescue whose goal   assist veterans   disabled  allowing   truly embrace every aspect  rescue farming"
"820614555 2017"," organization   equestrian rescue  refuge  offers therapeutic activities   people  equine  cared    management   organization   utilized  therapeutic sessions   people   sort  issues additionally  organization offers group activities   camp activities using  equine   training team building  mental health counseling  equine    center   purpose   pasture  mercer farm"
"820622022 2017"," provide  annual forum  discussion among cognitive science neuroscience  artificial intelligence researchers dedicated  understanding  computations  underlie complex behavior"
"820638525 2016","community services  improve leadership  tenacity"
"820647764 2017"," association's programs strived  accomplish  following public recognition  outstanding work  personal sacrifice  law enforcement officers emphasis  aggressive crime fighting  maximize  utilization  patrol  investigative resources   identification arrest  conviction  individuals committing criminal activity implementation  broken windows policing policy   state  local agencies authorization  local law enforcement officers  perform federal immigration law enforcement functions implementation  project safe neighborhoods psn  national initiative   united_states department  justice  increase prosecution  violent organizations implementation  project exile  slowing  murder rate  aggressive prosecution  gun offenses  federal laws instead   weaker state statutes   program conviction   federal gun charge carries  minimum mandatory prison sentence  five years bond  less available  defendants  sent   state  serve  sentences provision   real-time information  responding police officers  developing public  private surveillance camera network partnerships  can  accomplished  joining existing surveillance cameras owned  private individuals  businesses  government cameras  maximize resources"
"820683303 2017","walk   shoes provided  1,500 pairs  shoes renovated  commissary   children's home  lubbock  give children  retail experience  receiving clothes   need  provided aid  displaced children affected  hurricane harvey"
